16	0.00000000	0.04000000	0.25999996
32	-0.01000000	0.09500000	1.56749980
48	0.00000000	0.18999998	4.02000000
64	-0.01000000	0.25499997	7.61749940
80	0.01000000	0.33499995	12.36249500
96	-0.01000000	0.43499985	18.63749700
112	0.00000000	0.48999983	25.81999200
128	-0.02000000	0.53999978	33.83498800
144	0.00000000	0.54999977	42.13998000
160	0.00000000	0.59999973	51.19997800
176	0.02000000	0.62999970	60.74496800
192	0.00000000	0.68999964	71.29996500
208	0.00000000	0.75999957	82.90996600
224	0.00000000	0.81999952	95.73995200
240	0.00000000	0.87999946	109.51994000
256	0.00000000	0.98999935	124.33994000
272	0.00000000	1.05999930	140.69994000
288	0.00000000	1.03999940	157.51993000
304	0.00000000	1.07999930	173.85991000
320	0.00000000	1.13999930	191.96991000
336	0.02000000	1.19999920	210.90491000
352	0.02000000	1.27999910	231.03488000
368	-0.01000000	1.33499910	252.57733000
384	0.00000000	1.34999910	274.36987000
400	-0.02000000	1.32999910	296.31485000
416	0.00000000	1.41999900	317.52481000
432	0.00000000	1.45999900	340.64484000
448	0.00000000	1.52999890	364.95480000
464	0.00000000	1.61999880	390.15475000
480	-0.01000000	1.61499880	415.85217000
496	0.00000000	1.68999870	441.99454000
512	0.00000000	1.78999870	469.52457000
528	0.00000000	1.91999850	498.32462000
544	0.01000000	2.04499840	528.80713000
560	0.00000000	2.05999850	561.07452000
576	0.01000000	2.12499860	593.21704000
592	0.01000000	2.20499850	627.28705000
608	0.02000000	2.23999830	662.11963000
624	0.00000000	2.35999820	698.53461000
640	0.04000000	2.42999820	736.03455000
656	0.01000000	2.45499850	774.91705000
672	0.03000000	2.55499860	814.21204000
688	0.02000000	2.62999890	855.15961000
704	0.06000000	2.72999910	897.40948000
720	0.04000000	2.85999890	941.76440000
736	0.05000000	2.84999870	984.02942000
752	0.03000000	2.89999890	1030.24430000
768	0.03000000	2.92999860	1076.99410000
784	0.02000000	3.00499870	1124.73130000
800	0.02000000	3.10499880	1173.55160000
816	0.01000000	3.16999910	1223.95940000
832	0.01000000	3.23999950	1275.43930000
848	0.01000000	3.27999970	1328.07900000
864	0.02000000	3.34500000	1381.20120000
880	0.02000000	3.38500000	1435.33130000
896	0.01000000	3.42999980	1490.24890000
912	0.00000000	3.44499990	1545.61620000
928	0.00000000	3.44499970	1601.06620000
944	0.00000000	3.44999980	1653.14880000
960	0.01000000	3.56500010	1709.84120000
976	0.00000000	3.55999970	1767.17900000
992	0.00000000	3.58999990	1824.65880000
1008	0.01000000	3.66500020	1882.96140000
1024	0.01000000	3.70500020	1942.35160000
1040	0.00000000	3.75000100	2002.14930000
1056	0.00000000	3.80500100	2058.99190000
1072	0.00000000	3.82500150	2120.36180000
1088	0.00000000	3.81500120	2181.52100000
1104	0.00000000	3.85500170	2242.98120000
1120	0.00000000	3.90500210	2305.06100000
1136	0.00000000	3.99500270	2368.24170000
1152	0.00000000	4.03500270	2428.48730000
1168	0.00000000	4.04500290	2492.84690000
1184	0.00000000	4.05500320	2557.47610000
1200	0.00000000	4.10500340	2622.56540000
1216	-0.01000000	4.12000370	2688.24270000
1232	0.00000000	4.15500450	2754.42480000
1248	0.00000000	4.22500510	2821.18480000
1264	0.00000000	4.23000530	2884.77780000
